"id","category","pattern_name","description","user_or_business_purpose","observed_examples","source_urls","award_or_recognition","suitable_context","unsuitable_context","accessibility_considerations","performance_considerations","implementation_complexity","relevance_to_this_repo","recommended_application","confidence"
"IA-01","Information architecture","Flat visible shelf taxonomy","Keep the four Store destinations visible at one level instead of placing them in a menu.","Supports fast orientation and direct shelf switching without requiring shoppers to learn hidden structure.","NAMESAKE uses a direct browse layer; RTRFM keeps major destinations explicit despite a larger content system.","https://www.cssdesignawards.com/sites/namesake/43003; https://winners.webbyawards.com/2025/websites-and-mobile-sites/general-desktop-mobile-sites/music/321707/rtrfm--the-sound-alternative","NAMESAKE: CSSDA WOTD 2023; RTRFM: Webby Music winner 2025","Catalogs with roughly four to seven stable peer categories.","Large taxonomies needing multiple subcategory levels.","Use a named nav landmark and native links; keep every destination keyboard reachable.","Static HTML and CSS are sufficient.","low","high","Keep All, BlackBox Releases, Distro, and Merch as one visible peer set.","high"
"IA-02","Information architecture","All as the catalog reset","Provide an explicit All destination before narrower shelves.","Gives shoppers a predictable way to clear a category choice and recover the complete assortment.","Compact editorial and commerce rails such as Highsnobiety preserve broad entry points beside narrower topics.","https://winners.webbyawards.com/2024/websites-and-mobile-sites/general-desktop-mobile-sites/fashion-style-beauty/280474/highsnobiety; https://www.cssdesignawards.com/sites/namesake/43003","Highsnobiety: Webby People's Voice winner 2024; NAMESAKE: CSSDA WOTD 2023","Small catalogs where the combined collection remains useful.","Catalogs where All would create an unmanageably long or incoherent result.","Label the link plainly and expose aria-current when active.","No extra fetch or state is needed because All is already a route.","low","high","Retain All as the first category and make its active state unmistakable.","high"
"IA-03","Information architecture","Culture and commerce as peers","Place Store navigation within the label's cultural system rather than making it resemble a generic shop application.","Maintains label identity while keeping buying paths discoverable.","i-D and Highsnobiety place commerce beside editorial culture; Studio KARO merges art, clothing, music, and video.","https://winners.webbyawards.com/2025/websites-and-mobile-sites/general-desktop-mobile-sites/magazine-or-publication/321852/id; https://winners.webbyawards.com/2024/websites-and-mobile-sites/general-desktop-mobile-sites/fashion-style-beauty/280474/highsnobiety; https://www.cssdesignawards.com/sites/studio-karo/47898/","i-D: Webby publication winner 2025; Highsnobiety: Webby People's Voice winner 2024; Studio KARO: CSSDA WOTD 2025","Independent labels where releases and editorial identity reinforce each other.","Commodity marketplaces where brand content is secondary to search and comparison.","Do not let expressive styling obscure category names or current location.","Reuse existing typography and tokens; avoid extra media in the header.","low","high","Style the Store rail as a label index using the existing Veneer and mono system.","high"
"IA-04","Information architecture","Primary browse separate from utilities","Keep category choices distinct from cart, search, account, locale, and format filters.","Prevents competing tasks from diluting the main browse decision.","NAMESAKE separates browse from utilities; RTRFM separates contextual merch from portal utilities.","https://www.cssdesignawards.com/sites/namesake/43003; https://winners.webbyawards.com/2025/websites-and-mobile-sites/general-desktop-mobile-sites/music/321707/rtrfm--the-sound-alternative","NAMESAKE: CSSDA WOTD 2023; RTRFM: Webby Music winner 2025","Headers with one clear category task and utilities elsewhere in the shell.","Single-purpose landing pages with no recurring utilities.","Use distinct landmark names when more than one nav is present.","Avoid mounting additional interactive clients in the category component.","low","high","Keep the Store rail visually distinct from Distro format controls and the shell cart.","high"
"LAY-01","Layout and responsive composition","Rule-bounded full-width band","Use top and bottom rules to make the category zone read as a structural band without a floating card.","Creates a stable transition between masthead and catalog while preserving the site's raw editorial surface.","LNWY uses monochrome restraint; RCA and District use grid and rule logic as identity.","https://www.awwwards.com/sites/lnwy; https://www.cssdesignawards.com/sites/rca-records/43114/; https://www.cssdesignawards.com/sites/district/35283/","LNWY: Awwwards HM 2017; RCA: CSSDA Special Kudos 2023; District: CSSDA WOTD 2019","Dark editorial pages with aligned content containers.","Soft consumer interfaces whose visual language depends on rounded floating surfaces.","Rules must retain sufficient contrast without becoming visual noise at zoom.","Pure CSS borders add negligible cost.","low","high","Keep the existing border-y band and strengthen its internal layout.","high"
"LAY-02","Layout and responsive composition","Equal record-bin cells","Give each shelf an equal grid cell with a label, index, and optional count.","Improves scanning and gives every category equal perceived importance.","Musical Zoo uses repeatable grid rhythm; Crappy Explanation draws on record-store organization; NAMESAKE uses a strong commerce grid.","https://www.cssdesignawards.com/sites/musical-zoo-festival/33176/; https://www.cssdesignawards.com/sites/crappy-explanation/38759/; https://www.cssdesignawards.com/sites/namesake/43003","Musical Zoo: CSSDA WOTD 2018; Crappy Explanation: CSSDA Special Kudos 2021; NAMESAKE: CSSDA WOTD 2023","Four stable categories with short labels.","Many categories or labels that vary greatly in length.","Cells must remain real links with at least 44px height and clear focus treatment.","CSS Grid only; no runtime layout code.","low","high","Use four desktop columns and two mobile columns.","high"
"LAY-03","Layout and responsive composition","Asymmetric editorial masthead","Pair an oversized current-shelf heading with compact metadata and the category index.","Makes the page feel authored by a label while clarifying current context.","Analogue Foundation uses whitespace and editorial rhythm; i-D uses strong type hierarchy; RCA uses asymmetrical brutalist grids.","https://winners.webbyawards.com/2024/websites-and-mobile-sites/general-desktop-mobile-sites/music/276789/analogue-foundation; https://winners.webbyawards.com/2025/websites-and-mobile-sites/general-desktop-mobile-sites/magazine-or-publication/321852/id; https://www.cssdesignawards.com/sites/rca-records/43114/","Analogue Foundation: Webby nominee 2024; i-D: Webby winner 2025; RCA: CSSDA Special Kudos 2023","Brand-led collection pages with concise descriptions.","Utility-heavy pages where vertical space is scarce.","Heading order must stay logical; asymmetric placement cannot change reading order.","Typography and grid only; avoid hero media.","medium","high","Integrate Store title, current shelf, count, and rail in one bordered band for the masthead direction.","high"
"LAY-04","Layout and responsive composition","Visible reflow instead of hidden overflow","Recompose the category row at narrow widths so all destinations remain visible.","Avoids undiscoverable off-screen categories and unpredictable wrapping.","UPPERGROUND and The Cloister both received recognition with dedicated desktop and mobile compositions.","https://www.awwwards.com/sites/upperground; https://www.awwwards.com/sites/the-cloister","UPPERGROUND: Awwwards HM 2023; The Cloister: Awwwards HM 2023","Four-category navigation on mobile.","Large carousels where horizontal exploration is itself the task.","Meet WCAG reflow and preserve complete labels at 320 CSS px.","Media queries and CSS Grid are sufficient.","low","high","Switch the record-bin direction to a two-by-two mobile ledger.","high"
"HIER-01","Content hierarchy","Current shelf as dominant text","Make the selected collection name the clearest text after the Store label.","Helps shoppers verify location before scanning products.","i-D demonstrates compact navigation under strong typographic hierarchy; Analogue Foundation uses deliberate editorial emphasis.","https://winners.webbyawards.com/2025/websites-and-mobile-sites/general-desktop-mobile-sites/magazine-or-publication/321852/id; https://winners.webbyawards.com/2024/websites-and-mobile-sites/general-desktop-mobile-sites/music/276789/analogue-foundation","i-D: Webby winner 2025; Analogue Foundation: Webby nominee 2024","Collection pages where route context matters.","A minimal rail-only treatment where the page hero already repeats the exact shelf title.","Maintain one h1 and a logical heading hierarchy.","Text emphasis has no material runtime cost.","low","high","In the masthead direction, promote the active category heading rather than repeating generic Store copy.","high"
"HIER-02","Content hierarchy","Compact context line","Add one short description or item count near the current shelf, not a paragraph of marketing copy.","Sets expectation without delaying access to products.","Apple Music 100 Best Albums and RTRFM use short orienting context before deeper catalogs.","https://winners.webbyawards.com/2025/websites-and-mobile-sites/general-desktop-mobile-sites/music/332153/apple-music-100-best-albums--microsite; https://winners.webbyawards.com/2025/websites-and-mobile-sites/general-desktop-mobile-sites/music/321707/rtrfm--the-sound-alternative","Apple Music 100: Webby nominee 2025; RTRFM: Webby winner 2025","Small catalogs with meaningful shelf descriptions or counts.","Headers where copy would duplicate the next section verbatim.","Keep the line readable at 200% zoom and do not encode status through position alone.","Use build-time content and existing collection length.","low","high","Limit context to one sentence and one live count.","high"
